"","GeneID","pval","lfc","FDR","t_stat"
"4","ADAR",0.608644747613523,0.721558141373218,1,0.215636121436885
"5","AIF1",0.296100879644053,-2.57090038583959,0.929509372379776,-0.528560302424985
"7","ALOX5AP",0.632026315433531,-0.281063662366506,1,-0.199264838790964
"8","ANXA2",0.82394894675858,-0.0665717838975899,1,-0.0840996970746428
"9","ARHGDIA",0.313826911347267,2.43789500318909,0.929509372379776,0.503309817446048
"12","BANK1",0.123876240823369,2.09006829912957,0.760574701226432,0.907011982314593
"13","BID",0.708912060909223,-0.359265057896373,1,-0.149407634817719
"15","BLVRA",0.648392882397246,0.718995599774488,1,0.188161761177882
"19","CARD16",0.433309727119674,0.283460310982707,1,0.363201561630331
"22","CCL5",0.113024022331289,-0.884499166064096,0.760574701226432,-0.946829240966641
"25","CD180",0.109958495589775,0.721975862309412,0.760574701226432,0.958771210639488
"26","CD19",0.0319797588092761,2.02993778250261,0.597684811575936,1.49512481601804
"31","CD3D",0.705862449814605,0.0254677503160178,1,0.151279920912182
"32","CD3E",0.176067443446603,2.76263373949768,0.8192509284373,0.754320941810347
"33","CD68",0.872757169889504,-0.186554953605396,1,-0.0591065746757348
"34","CD7",0.676348289557602,0.565183618598323,1,0.169829603939862
"35","CD79A",0.634179876897742,2.34722517613095,1,0.197787542647816
"36","CD79B",0.766729330972505,-0.39229925924111,1,-0.115357922636741
"40","CFP",0.745650132806799,-1.3601835488431,1,-0.127464900453673
"45","COTL1",0.396886111633447,-0.419694940423086,0.992215279083617,-0.401334098236926
"46","CRBN",0.526848985286344,-0.286028455752146,1,-0.278313852065387
"47","CST3",0.951974541219522,-0.74786562582876,1,-0.0213746658547277
"48","CST7",0.844941143814661,-0.927151742096125,1,-0.0731735417091813
"50","CTSS",0.206616658945086,-2.53777017711538,0.84860413495303,-0.684834665409562
"51","CTSW",0.172022270675827,1.17699655199726,0.8192509284373,0.764415323990687
"52","CXCR4",0.48554457109355,-0.239072227068865,1,-0.313770897390361
"53","CYB561A3",0.296956921142223,0.752617106872794,0.929509372379776,0.52730654821539
"57","EAF2",0.30265698603258,-1.62855292501841,0.929509372379776,-0.519049297101226
"58","EIF3G",0.76305725514085,2.23051854816273,1,0.117442874025686
"59","EIF4A2",0.547364676025146,1.52418911231853,1,0.2617232330537
"61","FAM96A",0.711274441024756,0.998139283428382,1,0.147962796983782
"63","FCER1G",0.295058346424941,0.207033240720399,0.929509372379776,0.530092095802048
"64","FCER2",0.635744182008196,0.0194138173406761,1,0.19671760556562
"67","FCN1",0.34755567836809,-1.79423807351793,0.929509372379776,-0.458975611588864
"68","FCRLA",0.886894928466628,0.0610570698979457,1,0.0521278285223667
"70","FGFBP2",0.174367011874724,-1.69447953416919,0.8192509284373,-0.758535674884506
"77","GPX1",0.262636136877289,0.05607107537596,0.929509372379776,0.580645518282125
"78","GRN",0.188471738293671,-1.44240178215946,0.827904386323589,-0.724753763884236
"79","GSTP1",0.338033963583019,3.0775236833982,0.929509372379776,0.471039662279561
"80","GYPC",0.0377040779644019,0.405463889901718,0.597684811575936,1.42361167521441
"85","GZMM",0.607629721699287,0.800756354440814,1,0.216360991138585
"88","HLA-DMA",0.532290282386357,2.14982725013429,1,0.273851462334677
"89","HLA-DMB",0.930490661336499,0.123446000176498,1,0.0312879812117515
"90","HLA-DPA1",0.0432945939019997,2.48271497235303,0.622359787341245,1.36356632963067
"91","HLA-DPB1",0.240332298434835,-0.595170210853457,0.906170961311671,-0.61918786011816
"92","HLA-DQA1",0.0389794442332132,0.275642307624587,0.597684811575936,1.40916435732126
"93","HLA-DQA2",0.56196259677103,-1.45011924551156,1,-0.250292589335782
"94","HLA-DQB1",0.708522347171265,0.182927724997093,1,0.149646447321799
"95","HLA-DRA",0.951415167702976,0.535331931279201,1,0.0216299292276605
"96","HLA-DRB1",0.607487279760449,1.95719681408218,1,0.216462811371926
"97","HLA-DRB5",0.563782849919009,1.5617108815872,1,0.248888139352716
"98","HNRNPA3",0.702946447447862,0.189924710725308,1,0.153077759565921
"99","HNRNPF",0.197977135859989,-0.415321985077712,0.827904386323589,-0.703384962986988
"100","HNRNPH1",0.921376879736413,0.0507576141919992,1,0.0355626897704189
"101","HSP90AA1",0.871951435003541,-0.922763322501622,1,-0.0595077032524451
"102","HVCN1",0.0313330437344128,0.564805069637289,0.597684811575936,1.5039974151134
"105","IFITM2",0.0480178963755659,0.410005839931626,0.649653892140009,1.31859686994528
"106","IFITM3",0.558964926772157,-1.19504674256236,1,-0.25261544182232
"112","IL32",0.9774372252114,-0.271291443613363,1,-0.00991112510317701
"113","IL7R",0.596841038781725,-0.65620446686858,1,-0.224141322426002
"116","KIAA0125",0.819466994194556,0.139925184435783,1,0.0864685338907273
"120","LCK",0.94080625693202,-0.0374569895436091,1,-0.0264998029367147
"121","LDHB",0.856420105035787,-1.05009717154204,1,-0.0673131459039762
"122","LGALS1",0.307804940340852,-3.27755972974446,0.929509372379776,-0.511724413921199
"127","LINC00926",0.294427200560052,1.87244968828546,0.929509372379776,0.531022070328269
"129","LRRC25",0.598881622152593,-0.779413162243252,1,-0.222659013882195
"130","LST1",0.0550607329449075,0.187957781331787,0.703553809851596,1.25915801176197
"131","LTB",0.0219393049988459,-0.683975646156134,0.597684811575936,-1.6587771342794
"132","LY86",0.511984289503654,1.92943191540749,1,0.290743365365094
"134","LYZ",0.970110046501623,0.0390861233323299,1,0.013178997818726
"136","MMADHC",0.511899156857502,-1.77862122231877,1,-0.290815585770005
"139","MS4A1",0.760153728494093,1.65171616998584,1,0.119098569975338
"141","MS4A7",0.8251966492939,0.630862954914386,1,0.0834425441454734
"143","MYO1G",0.00697438128507001,-1.90214106509584,0.534702565188701,-2.15649431370287
